Province,Author,Sample,Unique_Id,Flow,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,P,T
Harrat_Rahat,Stelten_2018,R15TS209,Medinah,,0.7058,0.012,Stratigraphic,24.20570807,39.90011439,48.63,1.93,16.37,11.72,8.67,6.98,0.19,1.01,4.07,0.43,,0,,23.46,,197,242,,135,78,91,20,9.36,443.59,28.83,269.12,23.09,,0.08,126.26,21.72,49.14,6.35,26.07,6.02,2.06,5.99,0.99,5.89,1.14,3,0.42,2.57,0.39,5.49,1.54,,1.82,1.54,0.57,,,,,,,
Harrat_Rahat,Stelten_2018,R14DS001,Medinah,,1.0936,0.0173,Ar-Ar,24.19208192,39.87336654,48.33,2.55,16.73,12.48,8.35,5.3,0.21,1.16,4.36,0.53,,0,,22.35,,208,12,,38,49,101,21,8.62,538.61,32.4,301.8,22.79,,0.1,170.5,23.39,55.39,7.53,31.67,7.52,2.6,7.34,1.17,6.88,1.32,3.42,0.46,2.8,0.42,6.37,1.57,,2.03,1.57,0.62,,,,,,,
Harrat_Rahat,Stelten_2018,R14TS078,Medinah,,0.1292,0.0978,Stratigraphic,24.20589929,39.84951336,51.6,2.08,16.87,11.45,7.04,3.19,0.24,1.98,4.94,0.6,,1.05,,17.6,,111,0,,10,27,122,24,15.02,482.99,41.25,517.16,38.47,,0.15,322.14,35.53,82.72,10.82,44.34,9.71,3.37,9.31,1.49,8.65,1.69,4.38,0.61,3.73,0.58,10.27,2.43,,3.66,2.43,0.87,,,,,,,
Harrat_Rahat,Stelten_2018,R14TS079,Medinah,,0.1292,0.0978,Stratigraphic,24.2043372,39.84945378,48.08,2.53,16.83,12.76,8.31,5.18,0.21,1.18,4.35,0.58,,0.39,,22,,201,12,,37,48,104,20,8.8,543.83,35.1,313.89,23.83,,0.07,172.98,25.87,60.9,8.16,34.58,8.04,2.8,7.89,1.25,7.35,1.39,3.59,0.49,2.97,0.43,6.46,1.61,,2.05,1.61,0.56,,,,,,,
Harrat_Rahat,Stelten_2018,R15AC107,Medinah,,0.1292,0.0978,Stratigraphic,24.19835036,39.85573536,49.22,2.46,16.83,12.3,8.27,4.6,0.22,1.44,4,0.65,,1.23,,21.06,,184,5,,27,43,110,21,12.22,547.5,44.12,372.03,28.96,,0.13,251.18,36.24,86.35,11.72,50.17,11.23,3.88,10.51,1.62,9.31,1.76,4.43,0.6,3.64,0.54,7.61,1.9,,3.91,1.9,0.73,,,,,,,
Harrat_Rahat,Stelten_2018,R15MS008,Medinah,,0.1292,0.0978,Stratigraphic,24.19558964,39.85843442,47.73,2.59,15.88,14.76,6.98,3.77,0.27,1.56,5.04,1.41,,0.36,,18.47,,85,0,,9,41,129,22,11.65,672.55,38.27,348.93,32.24,,0.12,187.02,34.34,79.06,10.44,43.5,9.96,3.49,9.5,1.44,8.19,1.54,3.87,0.52,3.03,0.47,7.16,2.27,,2.5,2.27,0.74,,,,,,,
Harrat_Rahat,Stelten_2018,R14TS080,Medinah,,0.1292,0.0978,Stratigraphic,24.1998696,39.85216144,48.56,2.43,16.79,12.55,8.92,3.31,0.22,1.54,5.02,0.66,,1.71,,22.31,,147,9,,26,42,106,22,10.7,556.71,41.49,343.64,26.42,,0.11,221.51,33.43,79.7,10.86,46.59,10.73,3.65,9.92,1.54,8.87,1.67,4.15,0.57,3.4,0.52,7.22,1.77,,2.8,1.77,0.67,,,,,,,
Harrat_Rahat,Stelten_2018,R15MS009,Medinah,,0.1292,0.0978,Stratigraphic,24.19825368,39.8552621,49.15,2.46,16.84,12.49,7.61,4.52,0.22,1.46,4.61,0.65,,0,,18.79,,187,6,,28,45,111,23,11.7,630.5,36.8,333.74,31.6,,0.12,178.04,32.66,76.17,10.02,42.59,9.69,3.4,9.15,1.41,8.04,1.51,3.73,0.5,3.02,0.43,6.95,2.13,,2.57,2.13,0.74,,,,,,,
Harrat_Rahat,Stelten_2018,R15DS161,Medinah,,0.15,0,Stratigraphic,24.25004546,39.87642145,46.71,1.56,15.48,11.04,11.55,10.59,0.18,0.23,2.51,0.14,,0,,34.77,,281,522,,246,130,83,18,1.67,307.72,20.04,97.82,4.29,,0.01,32.01,6.1,16.06,2.4,11.36,3.33,1.25,3.77,0.68,4.17,0.84,2.12,0.29,1.76,0.27,2.43,0.5,,0.61,0.5,0.12,,,,,,2.170460597,1414.264307
Harrat_Rahat,Stelten_2018,R14TRO032,Medinah,,0.15,0,Stratigraphic,24.23850504,39.86191324,47.44,1.48,15.87,10.76,11.71,9.57,0.17,0.2,2.65,0.14,,0.19,,31.6,,249,467,,203,127,77,18,1.25,331.5,19.86,97.27,4.47,,0.01,38.27,5.89,15.18,2.24,10.52,3.01,1.22,3.58,0.64,4.04,0.8,2.12,0.29,1.76,0.25,2.33,0.34,,0.57,0.34,0.14,,,,,,2.050146753,1405.850384
