Area,Province,Author,Sample,Unique_Id,Flow,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
OIB,Oahu,Frey_1994,samp.KOO-55,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,52.6985,2.22471,13.4087,10.5887,9.03978,8.40559,0.150999,0.634194,2.53678,0.312064,0,,,24.3,,195,474,44.4,212,,93,20.3,9.1,474,22.4,155,9.9,,,141,13.2,32.4,,22.4,5.46,1.85,,0.76,,,,,1.76,0.24,3.58,0.57,,,0.49,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-55D,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,51.9112,2.0627,12.6087,10.8995,8.39235,10.5562,0.151669,0.606676,2.50759,0.303338,0,,,23.3,,199,590,50.8,369,,99,20.9,9.6,425,21.2,149,8.3,,,132,12,29.8,,19.5,5.07,1.71,,0.68,,,,,1.48,0.22,3.5,0.58,,,0.52,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-49,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,51.8185,2.09653,13.0529,10.7564,8.77922,10.2307,0.161271,0.463655,2.3586,0.282225,0,,,22.7,,241,367,49.5,383,,107,19.1,6.4,395,22,151,9.1,,,102,11.6,28.4,,18.4,4.83,1.66,,0.66,,,,,1.6,0.24,3.21,0.48,,,0.53,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-50,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,50.8775,2.16543,15.7348,11.0352,10.2909,7.01235,0.161901,0.0910695,2.36781,0.26309,0,,,26.7,,253,238,41.8,116,,109,20,0.4,400,27.6,149,9.7,,,91,12.7,29.2,,20.2,5.56,1.88,,0.88,,,,,1.94,0.29,3.3,0.57,,,0.51,,,,,,
OIB,Oahu,Frey_1994,samp.H3-1,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,54.2888,1.78674,14.3242,9.67352,9.45864,7.06622,0.151419,0.434068,2.58422,0.232176,0,,,23.7,,226,240,40.6,125,,104,19.5,4.5,353,20.6,129,8.2,,,71,10.1,26.7,,17.2,4.52,1.53,,0.63,,,,,1.6,0.25,2.79,0.49,,,0.22,,,,,,
OIB,Oahu,Frey_1994,samp.H3-10,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,50.7692,1.42485,11.4595,10.8204,7.80132,15.3298,0.171791,0.252633,1.78864,0.181896,0,,,20.4,,189,890,66.9,670,,104,15.5,4.8,273,15.1,95,5.8,,,49,6.84,18.6,,12.4,3.17,1.12,,0.42,,,,,1.21,0.18,2.17,0.4,,,0.2,,,,,,
OIB,Oahu,Frey_1994,samp.H3-31,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,53.8731,1.95368,13.7062,10.5658,9.00922,8.21965,0.151841,0.263191,2.0043,0.253068,0,,,25,,228,357,43.1,133,,115,19.3,2.4,316,19,126,8,,,63,9.11,24.3,,16,4.25,1.51,,0.67,,,,,1.52,0.22,2.85,0.38,,,0.16,,,,,,
OIB,Oahu,Frey_1994,samp.87TAN-1,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,50.9338,2.14479,14.5642,11.2668,8.96728,9.06941,0.173626,0.163413,2.45119,0.265546,0,,,,,229,603,,339,,120,20.7,2.37,424,28.3,146,8.6,,,117,,28,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Frey_1994,samp.87TAN-2,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,50.792,2.2622,15.8866,11.2829,9.32517,7.17557,0.225196,0.21496,2.48739,0.34803,0,,,27.2,,242,353,48.2,148,,118,,,,,169,10.7,,,131,14.3,32.9,,22,5.57,1.96,,0.88,,,,,2.04,0.28,3.81,0.59,,,0.66,,0.70451,0.51254,17.751,15.392,37.792
OIB,Oahu,Frey_1994,samp.87TAN-3,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,49.7879,2.36309,14.8304,11.5572,9.75794,8.47453,0.173158,0.132415,2.61773,0.305572,0,,,,,277,411,,266,,116,20.9,0.69,436,31.2,170,10.5,,,98,,30,,,,,,,,,,,,,,,,,,,,,,,
