,Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe,src_Fo
3445,OIB,Hawaii,Lipman_2006,samp.K209-11,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,51.0426,1.76287,13.9216,11.4032,11.0809,8.22001,0.151103,0.231691,2.02478,0.161177,0.54,,,30.9,,292.0,432.0,,98.0,,,18.2,6.8,237.0,23.7,94.0,9.2,,,53.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3446,OIB,Hawaii,Lipman_2006,samp.K209-12A,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,50.6572,2.02151,13.8219,12.0394,11.193,7.36905,0.159331,0.238996,2.33021,0.169289,0.45,,,32.0,,338.0,221.0,,86.0,,,19.6,4.6,247.0,27.4,107.0,10.2,,,51.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3447,OIB,Hawaii,Lipman_2006,samp.K209-12B,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,50.6634,1.90993,12.4849,12.4246,9.87133,10.0724,0.160836,0.271411,1.96019,0.180941,0.48,,,27.7,,312.0,606.0,,218.0,,,17.2,7.3,257.0,23.8,106.0,9.6,,,64.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3448,OIB,Hawaii,Lipman_2006,samp.K209-12C,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,49.8643,1.73957,11.272,11.7446,8.83861,14.4394,0.15083,0.180995,1.60885,0.160885,0.48,,,27.6,,276.0,817.0,,564.0,,,15.0,5.2,221.0,22.9,98.0,9.0,,,52.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3449,OIB,Hawaii,Lipman_2006,samp.K209-13A,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,51.3353,2.25738,13.1916,12.5768,10.1381,7.51789,0.161242,0.342638,2.26746,0.21163,0.93,,,27.9,,352.0,276.0,,106.0,,,20.0,8.1,278.0,28.2,130.0,12.2,,,68.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3450,OIB,Hawaii,Lipman_2006,samp.K209-13B,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,51.3903,2.24663,13.2178,12.5529,10.1652,7.47532,0.161193,0.322386,2.2567,0.211566,0.81,,,28.3,,355.0,276.0,,101.0,,,19.8,7.1,279.0,27.9,129.0,11.8,,,80.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3451,OIB,Hawaii,Lipman_2006,samp.K209-13C,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,51.2735,2.25511,13.1884,12.6246,10.1178,7.47005,0.161079,0.352361,2.34572,0.211416,0.6,,,29.6,,352.0,281.0,,101.0,,,19.7,7.6,278.0,29.3,131.0,12.7,,,76.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3452,OIB,Hawaii,Lipman_2006,samp.01L-01,Kilauea,Pre-Shield,VOLCANICROCK,BASALT_TRANSITIONAL,HAWAIIANISLANDS/HAWAII/KILAUEA/HILINABASALT/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.3,-155.33,49.6072,2.94006,13.9426,11.1818,11.1136,7.68862,0.161653,0.646612,2.38438,0.333409,1.14,0.0,,,,323.0,426.0,,172.0,125.0,112.0,21.0,14.0,435.0,28.0,178.0,23.0,,,162.0,15.0,38.0,,26.0,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3453,OIB,Hawaii,Lipman_2006,samp.01L-02,Kilauea,Pre-Shield,VOLCANICROCK,BASALT_TRANSITIONAL,HAWAIIANISLANDS/HAWAII/KILAUEA/HILINABASALT/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.3,-155.33,49.6431,3.05729,13.9243,11.3488,11.0991,7.33547,0.171531,0.665944,2.42161,0.332972,1.23,0.0,,,,311.0,329.0,,145.0,127.0,115.0,23.0,13.0,446.0,27.0,183.0,22.0,,,166.0,15.0,41.0,,21.0,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3454,OIB,Hawaii,Hammer_2006,samp.S692-12,Hualalai,Post-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/HUALALAI/DIVES692/PACIFICOCEAN,0.125,0.0125,Stratigraphic,19.6035,-156.296,45.3353,1.34478,7.94641,11.642,6.45901,23.6355,0.173191,0.22413,1.35497,0.193566,0.57,1.66,,,,198.0,1510.0,,1210.0,83.0,101.0,11.0,3.0,200.0,15.0,74.0,8.0,,,44.0,11.0,19.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3455,OIB,Hawaii,Hammer_2006,samp.S692-13,Hualalai,Post-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/HUALALAI/DIVES692/PACIFICOCEAN,0.125,0.0125,Stratigraphic,19.6035,-156.296,50.3514,1.98969,13.0954,10.4131,10.456,9.40028,0.152272,0.497423,2.14196,0.233484,0.72,1.25,,,,300.0,504.0,,245.0,127.0,97.0,17.0,7.0,280.0,23.0,114.0,10.0,,,69.0,11.0,24.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3456,OIB,Hawaii,Hammer_2006,samp.S692-14,Hualalai,Post-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/HUALALAI/DIVES692/PACIFICOCEAN,0.125,0.0125,Stratigraphic,19.6035,-156.296,49.9103,1.8489,12.124,10.9091,9.64865,12.5281,0.171756,0.373822,1.94994,0.212169,0.66,0.32,,,,286.0,754.0,,436.0,105.0,94.0,12.0,6.0,260.0,21.0,101.0,9.0,,,67.0,10.0,22.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
