Area,Province,Author,Sample,Unique_Id,Flow,RockType,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
1,EPRR26,Galeetal./thisstudy2,WASVNTR-016-001,,,,,DCP,,,GL,12.142,-103.813,,,,,,,,,,,,,,41.8,,326,221,,79,72,79,,,103,34.2,96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-012-010,,,,,DCP,,,GL,12.182,-103.861,49.33,1.95,14.06,11.57,10.82,6.99,0.21,0.15,2.68,0.2,,,,40.1,,398,196,,95,64,98,,,103,43.2,139.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-028-002,,,,,DCP,,,GL,12.098,-103.798,49.71,1.75,14.46,11.02,11.24,7.12,0.2,0.12,2.76,0.17,,,,41.8,,357,184,,73,71,86,,,113,38.5,125.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-011-003,,,,,DCP,,,GL,12.229,-103.852,48.9,1.49,15.13,10.23,11.35,8.17,0.19,0.07,2.7,0.15,,,,40.3,,303,270,,116,77,80,,,115,36.1,112.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-R050,,,,,DCP,,,GL,12.175,-103.855,48.84,1.55,16.43,8.89,10.98,7.77,0.16,0.54,3.03,0.28,,,,34.2,,248,245,,107,64,70,,,247,29.7,146.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-R129,,,,,DCP,,,GL,12.403,-103.888,50.09,2.07,13.89,12.59,11,6.97,0.22,0.1,2.52,0.2,,,,41.6,,410,127,,65,60,109,,,93,46.2,139.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-R139,,,,,DCP,,,GL,12.185,-103.83,50.15,1.95,13.84,12.28,11.32,7.19,0.22,0.09,2.45,0.19,,,,42.7,,402,161,,64,65,104,,,91,44.5,132.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-R015,,,,,DCP,,,GL,12.135,-103.825,50.2,2.07,13.82,12.62,11.01,6.9,0.22,0.09,2.53,0.19,,,,41.9,,412,135,,66,59,88,,,90,46,138.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-R134,,,,,DCP,,,GL,12.372,-103.884,50.11,1.9,14.28,12.08,11.15,6.97,0.21,0.1,2.67,0.18,,,,42.7,,380,132,,66,65,96,,,104,41.7,127.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-015-003,,,,,DCP,,,GL,12.143,-103.838,50.38,2.12,13.8,12.14,10.98,7.01,0.21,0.14,2.6,0.2,,,,41.1,,394,97,,69,63,102,,,102,45.8,142.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-R014,,,,,DCP,,,GL,12.15,-103.828,50.08,1.98,14.09,12.23,11.11,6.96,0.21,0.13,2.62,0.19,,,,41.7,,395,114,,62,64,98,,,99,44.3,138.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-027-003,,,,,DCP,,,GL,12.095,-103.803,50.6,2.05,13.78,11.86,11.12,7.09,0.21,0.12,2.6,0.2,,,,40.9,,392,172,,69,62,98,,,101,44.2,138.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-009-002,,,,,DCP,,,GL,12.207,-103.847,50.59,1.93,13.86,11.6,11.29,7.18,0.21,0.13,2.62,0.19,,,,42.2,,375,181,,76,62,89,,,103,43,132.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-015-002,,,,,DCP,,,GL,12.143,-103.838,50.5,1.86,13.5,11.72,11.64,7.57,0.21,0.09,2.4,0.17,,,,42,,385,201,,76,68,97,,,86,41.5,116.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-013-004,,,,,DCP,,,GL,12.113,-103.813,50.23,1.98,14.14,11.45,11.27,7.38,0.2,0.1,2.73,0.19,,,,41.3,,377,223,,86,64,90,,,101,44.2,132.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-017-001,,,,,DCP,,,GL,12.167,-103.818,50.54,1.81,14.27,11.25,11.5,7.29,0.2,0.09,2.54,0.16,,,,41.4,,365,207,,72,67,86,,,95,40.1,116.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-R136,,,,,DCP,,,GL,12.236,-103.842,49.69,2.01,14.92,10.88,11.07,7.14,0.2,0.27,2.95,0.24,,,,41.6,,356,199,,75,66,86,,,169,40.3,163.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-R003,,,,,DCP,,,GL,12.229,-103.839,49.74,2.01,15.07,10.79,11,7.1,0.2,0.27,2.96,0.25,,,,40.9,,359,200,,75,65,80,,,168,42,167.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-028-010,,,,,DCP,,,GL,12.098,-103.798,50.27,1.86,14.37,10.56,11.44,7.55,0.19,0.19,2.87,0.2,,,,41.7,,330,259,,96,68,81,,,156,39.4,148.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-R140,,,,,DCP,,,GL,12.165,-103.828,49.95,1.94,14.77,10.47,11.33,7.36,0.19,0.27,2.88,0.24,,,,41.4,,341,273,,82,65,83,,,178,40.7,169.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-R004,,,,,DCP,,,GL,12.242,-103.843,50.32,1.59,14.69,10.24,11.96,7.87,0.19,0.09,2.58,0.15,,,,41.2,,329,265,,85,73,86,,,97,35.1,103.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-008-002,,,,,DCP,,,GL,12.112,-103.848,50.8,1.36,14.4,9.83,12.18,8.24,0.18,0.07,2.51,0.13,,,,40.8,,293,361,,91,75,80,,,101,31.3,87.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-011-007,,,,,DCP,,,GL,12.229,-103.852,49.96,1.05,15.55,8.74,12.57,9.3,0.16,0.05,2.26,0.08,,,,37.8,,251,379,,138,77,70,,,83,25.6,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy+ADs-BOURDON/2000,WASVNTR-R032,,,,,DCP+ADs-MS-ID,,,GL,12.053,-103.814,49.53,1.94,14.18,11.3,11.04,7.08,0.2,0.14,2.64,0.2,,,,41.1,,372,200,,73,61,88,,,118,42.6,139.5,,,,,,,,,,,,,,,,,,,,,,,0.365,0.133,,,,,
1,EPRR26,REYNOLDS/1995+ADs-YI/2000,WASVNTR-027-011,,,,,DCP+ADs-ICP-MS+ADs-MC-ICP-MS+ADs-EMP,,,GL,12.095,-103.803,,,,,,,,,,,,,,42.5,,294,371,,94,76,74,,,111,31.2,91.1,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,REYNOLDS/2000,WASVNTR-2-006-001,,,,,DCP,,,GL,12.08,-103.849,49.52,1.88,13.7,11.56,11.12,7.05,0.21,0.11,2.52,0.18,,,,40.6,,380,144,,67,61,99,,,98,41.9,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,REYNOLDS/2000,WASVNTR-2-008-007,,,,,DCP,,,GL,12.112,-103.849,49.96,1.51,14.36,10.6,11.41,7.37,0.2,0.08,2.62,0.14,,,,41,,341,176,,74,68,83,,,102,35.2,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
