,Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe
2610,OIB,Oahu,Haskins_2004,samp.6,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.85,0.05,Stratigraphic,21.34,-157.85,50.7363,1.55831,11.3534,10.4981,7.9636,15.2492,0.161903,0.293449,1.91248,0.182141,0.2736,0.09,,,,179.0,794.0,,588.0,,104.0,,3.6,272.0,17.3,101.0,6.1,,,63.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
2611,OIB,Oahu,Haskins_2004,samp.7,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.85,0.05,Stratigraphic,21.34,-157.85,50.9272,2.0027,12.6838,10.8395,9.55833,10.7721,0.171949,0.384356,1.95213,0.202293,0.3024,0.5,,,,229.0,718.0,,315.0,,110.0,,4.4,302.0,20.9,126.0,8.0,,,70.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
2612,OIB,Oahu,Haskins_2004,samp.8,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.85,0.05,Stratigraphic,21.34,-157.85,50.9494,1.99148,12.2117,10.7879,9.35084,11.6557,0.171853,0.384143,2.133,0.232507,0.3744,0.13,,,,225.0,638.0,,361.0,,104.0,,4.7,308.0,21.6,127.0,8.1,,,69.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
2613,OIB,Oahu,Haskins_2004,samp.9,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.85,0.05,Stratigraphic,21.34,-157.85,53.0757,1.71537,13.3396,10.296,9.26302,9.27311,0.171537,0.262351,2.40152,0.171537,0.2592,0.03,,,,193.0,478.0,,163.0,,98.0,,3.5,268.0,20.6,104.0,6.5,,,56.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
2614,OIB,Oahu,Haskins_2004,samp.10,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.85,0.05,Stratigraphic,21.34,-157.85,52.8657,1.73513,13.4143,10.3719,9.3352,9.20329,0.172498,0.213086,2.38454,0.162351,0.2736,0.14,,,,200.0,517.0,,166.0,,103.0,,2.0,266.0,20.0,104.0,6.7,,,64.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
2615,OIB,Oahu,Haskins_2004,samp.12,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.85,0.05,Stratigraphic,21.34,-157.85,51.8268,1.69044,13.0462,10.2179,9.07864,9.35707,0.169044,0.298312,2.33678,0.1591,0.2736,1.83,,,,208.0,504.0,,164.0,,103.0,,3.3,267.0,19.9,106.0,6.8,,,63.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
2616,OIB,Oahu,Haskins_2004,samp.13,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.85,0.05,Stratigraphic,21.34,-157.85,51.0577,2.35234,13.5511,11.0536,10.5252,7.86122,0.180949,0.502636,2.2317,0.271423,0.4032,0.41,,,,257.0,341.0,,105.0,,108.0,,6.8,374.0,23.7,154.0,10.5,,,94.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
2617,OIB,Oahu,Haskins_2004,samp.14,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.85,0.05,Stratigraphic,21.34,-157.85,51.0571,2.34873,13.538,11.0205,10.5441,7.98366,0.171366,0.514099,2.31849,0.282251,0.4752,0.22,,,,257.0,331.0,,102.0,,106.0,,7.1,377.0,24.0,154.0,10.5,,,94.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
2618,OIB,Oahu,Haskins_2004,samp.15,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.85,0.05,Stratigraphic,21.34,-157.85,51.4955,2.04083,12.9926,11.1634,9.71918,9.58784,0.171753,0.404124,2.22268,0.222268,0.36,-0.02,,,,236.0,522.0,,210.0,,108.0,,5.4,307.0,21.7,127.0,9.3,,,85.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
2619,OIB,Oahu,Haskins_2004,samp.16,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.85,0.05,Stratigraphic,21.34,-157.85,50.9907,2.53181,13.6313,11.3359,10.826,7.55493,0.172163,0.455726,2.0457,0.283563,0.432,0.17,,,,268.0,337.0,,103.0,,106.0,,6.6,392.0,24.3,161.0,11.5,,,103.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
