,Area,Province,Author,Sample,Unique_Id,Flow,RockType,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
1277,1,MARR173,Kelley/Kingsley/andSchilling/inrevision,CON2806-002-001,,,,,ICP-MS,,,GL,-2.178,-12.635,50.1,1.12,15.36,9.19,11.98,9.23,0.15,0.07,2.4,0.09,,,4.5,34.8,1.14557596,245.0,369.0,41.6,154.0,71.0,77.6,16.0,0.45,123.0,26.9,76.3,1.2275,,,,2.08,7.4,1.4,7.67,2.59,1.0,3.35,0.65,4.29,0.94,2.67,,2.44,0.37,1.42,0.09745,0.015,0.21,0.07,0.04,0.70219,0.513221,17.883,15.439,37.32
1278,1,MARR174,Kelley/Kingsley/andSchilling/inrevision,CON2806-001-001,,,,,ICP-MS,,,GL,-2.54,-12.233,50.47,1.13,15.18,9.26,12.45,8.64,0.16,0.04,2.35,0.07,,,3.4,40.0,1.120701169,262.0,410.0,48.4,134.0,87.0,80.0,16.3,,88.0,26.8,56.0,0.597,,,,1.39,5.42,1.11,6.13,2.45,0.942,3.12,0.647,4.45,0.997,2.89,,2.64,0.4,1.2,,0.013,0.156,,,0.702125,0.513234,17.774,15.419,37.198
1279,1,MARR175,Kelley/Kingsley/andSchilling/inrevision,END0061-003-001,,,,,ICP-MS,,,WR,-3.433,-12.225,50.74,1.18,15.57,8.76,11.83,8.71,0.18,0.06,2.42,0.27,,,,36.7,1.169949917,262.0,406.0,42.3,151.0,73.0,78.0,14.1,,102.0,27.5,70.8,0.916,0.848,,,1.84,6.84,1.27,6.92,2.64,0.986,3.63,0.678,4.64,1.008,2.93,,2.72,0.41,1.44,0.0652,0.021,,0.046,0.012,0.702176,0.513262,17.804,15.443,37.278
1280,1,MARR179,Kelley/Kingsley/andSchilling/inrevision,END0061-005-001A,,,,,ICP-MS,,,GL,-5.185,-11.517,50.11,1.29,14.29,11.23,11.13,8.68,0.21,0.12,2.24,0.32,,,6.6,40.1,1.396160267,322.0,257.0,44.2,125.0,66.0,98.2,15.7,1.32,85.0,34.6,80.9,2.934,0.647,0.031,,2.75,8.67,1.49,8.04,3.09,1.086,4.17,0.841,5.82,1.303,3.79,,3.58,0.54,1.79,0.1858,0.019,0.377,0.185,0.05,0.702156,0.51331,17.762,15.44,37.239
1281,1,MARR180,Kelley/Kingsley/andSchilling/inrevision,END0061-006-001C,,,,,ICP-MS,,,GL,-6.31,-11.322,50.13,1.05,15.34,10.13,10.78,9.25,0.19,0.1,2.4,0.27,,,5.4,34.5,1.146076795,226.0,339.0,45.1,199.0,87.0,84.3,15.3,1.11,113.0,25.1,65.6,2.421,0.66,0.021,,2.33,7.45,1.29,7.02,2.63,0.978,3.2,0.686,4.54,1.008,2.89,,2.7,0.4,1.57,0.1513,0.013,0.336,0.14,0.041,0.702232,0.513297,17.899,15.462,37.368
1282,1,MARR182,Kelley/Kingsley/andSchilling/inrevision,END0061-007-001,,,,,ICP-MS,,,GL,-7.51,-13.46,51.73,1.72,14.4,9.9,10.28,7.85,0.22,0.27,2.63,0.39,,,7.3,37.2,1.699499165,295.0,236.0,43.0,118.0,68.0,107.2,16.4,4.35,129.0,36.2,134.0,10.61,1.171,0.06,,7.38,18.77,2.84,13.93,4.31,1.377,5.02,0.973,6.13,1.336,3.78,,3.52,0.53,3.16,0.6583,0.023,0.611,0.677,0.193,0.702454,0.513159,18.855,15.553,38.445
1283,1,MARR182,Kelley/Kingsley/andSchilling/inrevision,END0061-008-001A,,,,,ICP-MS,,,GL,-8.01,-13.4,51.23,1.92,14.32,10.39,10.08,7.88,0.2,0.31,2.58,0.41,,,8.4,38.0,1.966444073,335.0,283.0,43.8,143.0,66.0,110.6,17.1,5.63,129.0,37.7,139.3,13.22,1.293,0.074,,8.56,21.46,3.13,15.19,4.59,1.463,5.18,1.026,6.48,1.42,4.03,,3.73,0.56,3.32,0.8088,0.022,0.931,0.808,0.223,0.702458,0.513114,18.925,15.56,38.525
1284,1,MARR184,Kelley/Kingsley/andSchilling/inrevision,END0061-012-001,,,,,ICP-MS,,,GL,-9.93,-13.13,51.08,2.16,14.38,10.5,10.37,6.29,0.22,0.48,3.11,0.51,,,5.4,37.5,2.052587646,284.0,131.0,40.8,65.0,98.0,103.8,17.9,6.73,242.0,30.4,139.1,15.64,1.256,0.084,,10.47,25.45,3.55,16.76,4.72,1.6,4.96,0.924,5.59,1.171,3.22,,2.81,0.42,3.23,0.9892,0.024,0.768,0.922,0.266,0.70271,0.513038,19.162,15.591,38.907
1285,1,MARR184,Kelley/Kingsley/andSchilling/inrevision,END0061-011-001A,,,,,ICP-MS,,,GL,-9.62,-13.23,51.17,2.43,14.34,10.55,10.09,6.13,0.22,0.53,3.04,0.51,,,7.5,38.5,2.294490818,302.0,102.0,39.2,43.0,75.0,105.9,19.6,8.22,261.0,33.6,173.6,20.27,,0.096,,12.72,31.46,4.32,20.2,5.47,1.755,5.62,0.981,6.12,1.262,3.46,,3.07,0.45,4.2,1.3079,0.035,0.945,1.278,0.386,0.702772,0.513178,19.286,15.625,39.097
1286,1,MARR185,Kelley/Kingsley/andSchilling/inrevision,END0061-014-001,,,,,ICP-MS,,,GL,-11.05,-13.04,50.81,0.89,15.27,8.33,12.82,8.99,0.2,0.06,2.04,0.29,,,4.5,37.6,0.8721202,240.0,392.0,43.3,131.0,86.0,,14.6,0.86,83.0,22.2,44.5,1.5465,,,,1.65,5.28,0.99,5.18,1.91,0.771,2.67,0.526,3.52,0.787,2.28,,2.15,0.33,0.6,0.10565,0.015,0.164,0.108,0.034,0.702487,0.512992,18.245,15.505,37.832
1287,1,MARR186,Kelley/Kingsley/andSchilling/inrevision,END0061-015-001,,,,,ICP-MS,,,WR,-12.03,-14.41,50.18,1.12,16.3,8.03,11.83,8.79,0.18,0.1,2.79,0.34,,,4.1,30.0,0.968280467,194.0,288.0,38.1,120.0,77.0,62.8,14.3,0.9,160.0,20.3,62.8,2.374,0.459,0.022,,2.5,7.63,1.24,6.21,2.09,0.855,2.91,0.502,3.41,0.724,2.08,,1.96,0.3,1.09,0.1501,0.016,0.337,0.137,0.041,0.702466,0.513175,18.605,15.552,38.109
